record_id,section,subsection,row_type,item_key,label,content,detail,meta,link_url,display_order,source
COURSE-001,hero,basic_info,info,course_title,과정명,"[실습] HRD부문의 효과적인 AI 활용 방안","(주)현대제철 사례를 중심으로","메인 히어로 타이틀",,10,"original course_info.csv + DOCUMENT_Design.md §1"
COURSE-002,hero,basic_info,info,event_datetime,일시,2026-04-17,10:00~17:00,"2026.04.17 (금)",,20,"original course_info.csv + DOCUMENT_Design.md §1"
COURSE-003,hero,basic_info,link,venue_map,교육장소(클릭하시면 약도보기로 이동합니다),고우넷트레이닝센터(GTC),"서울 성동구 아차산로5길 10, 2층 <대중교통 이용>","교육장소 링크","https://map.naver.com/p/entry/place/1063449539?placePath=/home?entry=plt&from=map&fromPanelNum=1&additionalHeight=76&timestamp=202509121033&locale=ko&svcName=map_pcv5&searchType=place&lng=127.0526280&lat=37.5466263&c=15.00,0,0,0,dh",30,"user update 2026-04-14"
COURSE-004,hero,basic_info,info,host,주관,"한국인사관리협회","교육 운영 주관 조직",,,40,"original course_info.csv + DOCUMENT_Design.md §1"
COURSE-005,hero,basic_info,info,instructor,강사,"한충석 책임매니저","메인 진행 강사",,,50,"original course_info.csv + DOCUMENT_Design.md §1"
COURSE-006,hero,basic_info,info,target_audience,본 과정에 꼭 참석해야 하는 분들,교육담당 리더 및 실무자,AI 기반의 HRD 방향성 전환을 고민하시는 분,"참석 권장 대상",,60,"user update 2026-04-14"
COURSE-007,course_overview,summary,info,course_goal,교육 목적,"생성형 AI의 기술 변화 방향을 이해하고 HRD 전 과정에서 바로 적용 가능한 업무 시나리오를 설계한다.","과정 소개 문구",,,70,"original course_info.csv + DOCUMENT_Design.md §1"
COURSE-008,course_overview,learning_outcomes,info,learning_outcome_1,학습목표 1,"생성형 AI의 발전 흐름을 이해한다.",,,80,"DOCUMENT_Design.md §4-1"
COURSE-009,course_overview,learning_outcomes,info,learning_outcome_2,학습목표 2,"LLM, Transformer, Attention의 핵심 개념을 HRD 관점으로 단순화해 설명할 수 있다.",,,90,"DOCUMENT_Design.md §4-1"
COURSE-010,course_overview,learning_outcomes,info,learning_outcome_3,학습목표 3,"HRD 업무 전 과정에서 AI 적용 가능 지점을 구체적으로 식별한다.",,,100,"DOCUMENT_Design.md §4-1"
COURSE-011,deliverables,expected_outputs,outcome,output_1,기대 산출물,"chatGPT GPTs 커스텀 챗봇",,,110,"DOCUMENT_Design.md §1"
COURSE-012,deliverables,expected_outputs,outcome,output_2,기대 산출물,"교육운영용 마이크로사이트 1종","샘플: https://01chungee10snu.github.io/CL_Workshop",,,120,"DOCUMENT_Design.md §1"
COURSE-013,deliverables,expected_outputs,outcome,output_3,기대 산출물,"리더십 교육 F/U 개인화 메시지 설계방향",,,130,"DOCUMENT_Design.md §1"
COURSE-014,deliverables,expected_outputs,outcome,output_4,기대 산출물,"교육 만족도 데이터 자동화 분석 흐름도 1종",,,140,"DOCUMENT_Design.md §1"
COURSE-015,deliverables,expected_outputs,outcome,output_5,기대 산출물,"전사 AX 추진을 위한 HRD 기획방안",,,150,"DOCUMENT_Design.md §1"
COURSE-016,core_messages,key_messages,message,key_message_1,핵심 메시지 1,"AI는 HRD 업무를 통째로 대체하기보다, 기획-운영-분석-커뮤니케이션의 생산성을 크게 증폭시킬 수 있다.",,,160,"DOCUMENT_Design.md §2"
COURSE-017,core_messages,key_messages,message,key_message_2,핵심 메시지 2,"HRD의 본질은 사람과 조직을 이해하고 행동 변화를 설계하는 일이며, AI는 그 설계를 더 빠르게 실험하고 구현하게 해주는 도구다.",,,170,"DOCUMENT_Design.md §2"
COURSE-018,core_messages,key_messages,message,key_message_3,핵심 메시지 3,"중요한 것은 도구를 잘 사용하는 것이 아니라, 업무 문제를 명확히 정의하고 검증 가능한 산출물로 연결하는 능력이다.",,,180,"DOCUMENT_Design.md §2"
COURSE-019,timetable,sessions,session,session_01,강의,10:00~10:50,"생성형 AI 동향 이해, HRD 적용 관점 정리","세션 목적: 생성형 AI 동향 이해",,190,"DOCUMENT_Design.md §3"
COURSE-020,timetable,sessions,session,session_02,실습 1,11:00~12:00,"교육운영 효율화를 위한 FAQ 챗봇 및 웹페이지 제작","세션 목적: 교육운영 효율화",,200,"DOCUMENT_Design.md §3"
COURSE-021,timetable,sessions,session,session_03,점심,12:00~13:00,"휴식 및 질의응답",,,210,"DOCUMENT_Design.md §3"
COURSE-022,timetable,sessions,session,session_04,시연 1,13:00~13:50,"LLM API 활용 개인화 피드백 메시지 제작 및 개인화 메일 발송","세션 목적: 피드백 자동화",,220,"DOCUMENT_Design.md §3"
